;TMIN(C);TMED(C);TMAX(C);HR_MIN(%);HR_MAX(%);RAD(MJ/M2);LLUVIA(mm);T-TD(C);GRANIZO;COND_HELADAS;DURACION_HELADAS(HS);EVAP_TRANS(mm);FECHA
0;11.6;15.5;18.5;21.9;63.3;11.1;0.0;12.0;0.0;0.0;0.0;1.8;20220817
1;4.4;9.8;15.6;22.2;42.3;12.5;0.0;13.7;0.0;0.0;0.0;2.6;20220818
2;2.3;9.2;17.4;24.0;47.7;12.7;0.0;12.8;0.0;1.0;4.0;3.1;20220819
3;6.0;11.3;17.6;31.2;63.9;12.1;0.0;11.0;0.0;0.0;0.0;2.6;20220820
4;3.7;10.6;18.0;36.7;78.8;12.6;0.0;9.1;0.0;0.0;0.0;2.9;20220821
5;4.0;11.6;20.1;37.6;85.9;12.7;0.0;8.7;0.0;0.0;0.0;3.2;20220822
6;7.5;14.5;22.8;40.9;86.2;12.4;0.0;7.9;0.0;0.0;0.0;3.0;20220823
7;13.3;18.6;24.3;44.9;96.0;11.0;0.1;7.3;0.0;0.0;0.0;2.3;20220824
8;16.0;20.0;25.4;45.7;95.4;10.4;2.3;7.2;0.0;0.0;0.0;2.0;20220825
9;15.4;19.8;25.8;41.6;97.1;11.2;0.5;8.3;0.0;0.0;0.0;2.3;20220826
10;12.1;16.3;22.5;48.3;96.8;10.5;1.1;7.0;0.0;0.0;0.0;2.1;20220827
11;10.3;15.3;21.9;41.9;97.9;10.7;0.4;7.8;0.0;0.0;0.0;2.2;20220828
12;10.6;15.5;22.5;41.6;94.6;11.1;0.5;8.3;0.0;0.0;0.0;2.3;20220829
13;9.3;14.7;22.2;41.7;93.0;11.2;0.3;8.1;0.0;0.0;0.0;2.4;20220830
14;10.3;15.4;22.0;42.7;94.3;10.7;0.6;7.8;0.0;0.0;0.0;2.2;20220831
15;8.0;11.8;17.8;33.1;52.3;8.7;0.0;11.2;0.0;0.0;0.0;1.6;20220901
16;6.5;11.0;16.7;36.5;57.1;7.5;0.0;10.5;0.0;0.0;0.0;1.4;20220902
17;6.6;11.9;18.8;35.0;62.0;9.6;0.0;10.4;0.0;0.0;0.0;2.0;20220903
18;7.1;12.5;19.9;35.5;70.9;9.8;0.0;9.6;0.0;0.0;0.0;2.1;20220904
19;7.4;12.9;19.6;41.3;72.4;9.4;0.0;8.7;0.0;0.0;0.0;2.0;20220905
20;8.4;14.3;21.2;39.9;79.2;10.0;0.0;8.6;0.0;0.0;0.0;2.1;20220906
21;10.3;14.7;20.6;46.5;73.2;7.2;0.1;7.8;0.0;0.0;0.0;1.4;20220907
22;11.2;15.6;21.0;42.9;71.7;9.0;0.4;8.6;0.0;0.0;0.0;1.7;20220908
23;9.8;16.3;23.8;39.1;72.5;10.2;0.0;8.9;0.0;0.0;0.0;2.3;20220909
24;11.0;16.4;22.8;43.4;80.5;9.8;0.0;7.9;0.0;0.0;0.0;2.0;20220910
25;12.6;16.8;22.8;48.1;76.2;6.0;0.1;7.4;0.0;0.0;0.0;1.1;20220911
26;11.7;17.1;24.1;42.1;66.4;9.6;0.0;9.1;0.0;0.0;0.0;2.0;20220912
27;12.4;18.7;25.4;41.8;74.7;10.7;0.1;8.8;0.0;0.0;0.0;2.3;20220913
28;14.9;19.7;27.0;44.5;80.3;10.6;1.4;7.4;0.0;0.0;0.0;2.2;20220914
29;15.9;20.8;26.8;49.6;79.7;10.0;1.6;6.8;0.0;0.0;0.0;2.0;20220915
30;15.3;20.2;27.4;44.5;81.9;10.5;0.1;7.2;0.0;0.0;0.0;2.2;20220916
31;13.7;18.0;25.0;46.5;80.9;7.3;4.9;6.6;0.0;0.0;0.0;1.4;20220917
32;13.5;17.6;23.2;55.4;85.0;7.2;0.9;5.7;0.0;0.0;0.0;1.3;20220918
33;13.6;18.0;23.1;55.3;86.8;7.7;0.1;6.1;0.0;0.0;0.0;1.4;20220919
34;13.2;17.3;22.7;61.3;79.2;5.2;0.4;5.5;0.0;0.0;0.0;0.9;20220920
35;13.7;17.7;22.5;57.8;88.2;5.8;0.5;5.4;0.0;0.0;0.0;1.0;20220921
36;15.0;19.6;25.9;49.2;84.3;10.5;1.9;6.4;0.0;0.0;0.0;2.0;20220922
37;14.5;19.4;25.3;42.7;72.5;9.8;0.0;8.6;0.0;0.0;0.0;1.9;20220923
38;12.7;18.8;26.4;37.3;72.0;11.2;0.0;9.1;0.0;0.0;0.0;2.4;20220924
39;12.6;17.5;23.5;49.4;78.6;8.6;0.7;7.1;0.0;0.0;0.0;1.6;20220925
40;14.6;17.6;22.8;63.7;79.2;3.8;1.2;4.6;0.0;0.0;0.0;0.6;20220926
41;12.4;15.2;19.7;58.7;79.8;4.8;2.4;5.5;0.0;0.0;0.0;0.7;20220927
42;11.7;15.8;21.5;44.1;66.4;10.0;0.0;8.7;0.0;0.0;0.0;1.8;20220928
43;10.2;15.5;21.3;44.7;67.8;10.2;0.1;9.2;0.0;0.0;0.0;1.9;20220929
44;11.0;15.4;21.3;43.6;66.2;10.8;0.0;8.8;0.0;0.0;0.0;2.0;20220930
45;10.4;16.3;22.8;43.0;78.5;12.3;0.0;8.2;0.0;0.0;0.0;2.4;20221001
46;11.1;16.7;22.9;52.3;72.0;11.5;0.1;8.1;0.0;0.0;0.0;2.2;20221002
47;12.6;17.2;23.1;46.4;72.9;11.1;0.0;7.8;0.0;0.0;0.0;2.0;20221003
48;13.1;18.8;24.7;47.6;81.7;12.6;1.8;7.4;0.0;0.0;0.0;2.4;20221004
49;15.7;18.8;24.0;54.7;76.9;11.5;4.2;6.2;0.0;0.0;0.0;1.9;20221005
50;14.5;17.9;22.4;64.4;84.2;6.4;6.3;4.8;0.0;0.0;0.0;1.0;20221006
51;13.9;18.9;24.6;51.0;87.0;9.7;0.1;6.6;0.0;0.0;0.0;1.8;20221007
52;15.7;21.2;27.9;43.8;78.4;13.1;0.0;8.2;0.0;0.0;0.0;2.6;20221008
53;16.5;22.7;29.9;40.1;77.7;13.4;0.1;8.5;0.0;0.0;0.0;2.8;20221009
54;17.1;22.7;29.0;46.5;78.4;13.5;0.1;8.0;0.0;0.0;0.0;2.6;20221010
55;17.3;22.0;28.1;49.7;86.1;10.9;1.4;6.5;0.0;0.0;0.0;2.0;20221011
56;16.7;20.7;27.0;53.4;83.0;8.5;8.7;5.6;0.0;0.0;0.0;1.5;20221012
57;16.8;20.6;25.8;54.7;81.0;10.2;11.9;6.2;0.0;0.0;0.0;1.7;20221013
58;15.2;19.9;25.7;53.1;87.7;10.6;4.4;6.0;0.0;0.0;0.0;1.9;20221014
59;14.9;19.0;24.6;50.4;75.9;10.0;0.6;7.2;0.0;0.0;0.0;1.7;20221015
60;14.1;17.5;21.5;61.4;70.1;7.8;0.6;6.9;0.0;0.0;0.0;1.2;20221016
61;13.7;17.7;22.9;50.6;81.3;12.9;0.8;6.8;0.0;0.0;0.0;2.1;20221017
62;14.8;20.2;26.3;45.3;78.0;14.2;0.2;7.9;0.0;0.0;0.0;2.6;20221018
63;15.8;21.6;28.4;44.8;82.9;13.4;2.1;7.5;0.0;0.0;0.0;2.6;20221019
64;16.8;21.0;26.4;55.6;82.0;12.6;3.1;5.9;0.0;0.0;0.0;2.1;20221020
65;17.5;22.3;28.1;54.9;92.8;13.5;9.6;5.5;0.0;0.0;0.0;2.4;20221021
66;17.4;22.1;26.9;52.3;81.0;14.3;2.0;7.2;0.0;0.0;0.0;2.4;20221022
67;17.2;22.5;28.8;43.2;73.5;14.7;6.1;8.5;0.0;0.0;0.0;2.7;20221023
68;18.4;22.9;28.5;49.0;67.1;11.2;1.8;8.2;0.0;0.0;0.0;1.9;20221024
69;17.1;23.4;30.2;39.1;71.2;14.8;2.3;9.5;0.0;0.0;0.0;2.9;20221025
70;17.3;22.2;28.1;49.2;70.7;9.6;1.2;7.9;0.0;0.0;0.0;1.7;20221026
71;17.6;21.9;27.4;58.5;82.7;8.1;8.0;5.8;0.0;0.0;0.0;1.4;20221027
72;17.0;20.1;23.9;70.0;81.8;6.1;17.0;4.8;0.0;0.0;0.0;0.8;20221028
73;16.5;20.8;26.7;47.6;74.0;13.7;0.1;7.7;0.0;0.0;0.0;2.3;20221029
74;14.4;19.4;26.8;45.0;71.2;14.6;1.9;7.1;0.0;0.0;0.0;2.7;20221030
75;14.3;17.8;22.3;59.2;81.9;12.6;1.3;5.7;0.0;0.0;0.0;1.9;20221031
76;15.0;19.1;24.0;55.8;77.8;13.1;0.3;6.4;0.0;0.0;0.0;2.1;20221101
77;14.8;18.8;23.7;54.1;79.8;15.7;0.2;6.7;0.0;0.0;0.0;2.5;20221102
78;14.9;19.3;24.6;51.6;82.0;14.1;1.8;6.9;0.0;0.0;0.0;2.3;20221103
79;14.7;21.4;27.9;42.7;80.0;16.5;0.0;8.4;0.0;0.0;0.0;3.2;20221104
80;15.0;19.9;25.6;49.5;59.4;13.7;0.0;9.2;0.0;0.0;0.0;2.3;20221105
81;14.0;19.7;26.3;38.6;62.0;16.2;0.0;9.8;0.0;0.0;0.0;3.0;20221106
82;15.5;22.0;28.2;41.2;75.0;16.1;1.9;9.0;0.0;0.0;0.0;3.0;20221107
