AÑO,MES ,DIA,Dia juliano,Radiac  (MJ m2),PAR,Tº Max,Tº Min,Tº Media
2020,12,1,336,24.4,10.98,32.7,13,22.6
2020,12,2,337,8,3.6,29,16.7,22.2
2020,12,3,338,25,11.25,32.5,12,22.1
2020,12,4,339,16,7.2,23.6,14,17.7
2020,12,5,340,28.2,12.69,25.8,6.7,17.4
2020,12,6,341,26.6,11.97,28.5,11,19.7
2020,12,7,342,26.4,11.88,31.5,12.4,21.9
2020,12,8,343,26.9,12.105,35.1,14.3,24.4
2020,12,9,344,8,3.6,38.2,16.6,27.1
2020,12,10,345,25,11.25,39.7,20.6,29.5
2020,12,11,346,21.6,9.72,31.2,18.4,25
2020,12,12,347,22.1,9.945,34.1,10.6,22.1
2020,12,13,348,18.9,8.505,28.7,15.7,21.7
2020,12,14,349,8.1,3.645,33,9.9,22.3
2020,12,15,350,22.6,10.17,31.9,14.5,23.8
2020,12,16,351,23.1,10.395,33.5,9.8,23.1
2020,12,17,352,8.1,3.645,37.4,13,26.1
2020,12,18,353,23.1,10.395,35.7,16.2,26.3
2020,12,19,354,8.1,3.645,27.7,12.3,20.1
2020,12,20,355,29.8,13.41,27.7,11.8,19.8
2020,12,21,356,22.1,9.945,32.7,12.3,22.6
2020,12,22,357,23.9,10.755,34.7,15.4,24.9
2020,12,23,358,24.4,10.98,35.8,14.8,25.3
2020,12,24,359,23.6,10.62,36.8,16.1,26.2
2020,12,25,360,22.9,10.305,33,19.9,25.9
2020,12,26,361,23.1,10.395,36.2,17.8,27.1
2020,12,27,362,17.4,7.83,34.8,18.8,27.2
2020,12,28,363,8.1,3.645,29.7,18,22.7
2020,12,29,364,25.1,11.295,32.3,15.9,23.8
2020,12,30,365,14,6.3,25.9,14.2,21.1
2020,12,31,366,28.5,12.825,28.7,10.8,19.9
2021,1,1,1,19.1,8.595,33,12.6,23.1
2021,1,2,2,16,7.2,34.2,17.7,26
2021,1,3,3,13.6,6.12,26.8,19.4,21.5
2021,1,4,4,15.8,7.11,32.2,19.4,24.7
2021,1,5,5,8.5,3.825,26.7,17.6,21.4
2021,1,6,6,29.3,13.185,28.1,15.1,20.8
2021,1,7,7,30,13.5,33.2,11.4,22.4
2021,1,8,8,20.2,9.09,31.9,14.5,22.9
2021,1,9,9,22.6,10.17,28.7,15.2,21.3
2021,1,10,10,25.5,11.475,32.7,19,25.1
2021,1,11,11,8,3.6,27.3,17,22.8
2021,1,12,12,25.7,11.565,27.4,16.4,21.4
2021,1,13,13,26.1,11.745,30,16.1,23.5
2021,1,14,14,21.2,9.54,30.2,20.1,24.2
2021,1,15,15,14.4,6.48,27.1,19.1,22.1
