,FECHA,TMAXH(C),TMEDH(C),TMINH(C),HRMAXH(C),HRMEDH(C),HRMINH(C),LLUVIAH(MM),TMINF(C),TMEDF(C),TMAXF(C),RADF(W/M2),LLUVIAF(MM),T-TD(C),RADF(MJ/M2)
0,2020/01/01,30.3,25.5,21.1,99 ,70 ,46 ,0.0,,,,,,,
1,2020/01/02,31.6,24.7,18.9,98 ,75 ,45 ,0.0,,,,,,,
2,2020/01/03,33.2,28.3,22.7,70 ,60 ,40 ,0.0,,,,,,,
3,2020/01/04,34.4,26.6,19.0,84 ,65 ,38 ,0.0,,,,,,,
4,2020/01/05,34.7,27.1,18.9,92 ,67 ,35 ,0.0,,,,,,,
5,2020/01/06,30.0,23.2,17.6,88 ,67 ,31 ,0.0,,,,,,,
6,2020/01/07,32.0,23.6,13.4,89 ,65 ,24 ,0.0,,,,,,,
7,2020/01/08,35.4,27.4,16.9,93 ,67 ,44 ,0.0,,,,,,,
8,2020/01/09,31.1,26.0,21.5,86 ,65 ,60 ,0.0,,,,,,,
9,2020/01/10,24.2,23.1,22.0,98 ,76 ,60 ,3.05,,,,,,,
10,2020/01/11,33.8,30.1,25.8,99 ,63 ,51 ,3.05,,,,,,,
11,2020/01/12,31.7,27.2,23.8,92 ,62 ,60 ,3.05,,,,,,,
12,2020/01/13,36.0,28.9,23.6,90 ,61 ,58 ,3.05,,,,,,,
13,2020/01/14,36.3,30.2,24.4,99 ,62 ,55 ,3.05,,,,,,,
14,2020/01/15,31.1,25.2,19.6,99 ,64 ,39 ,5.84,,,,,,,
15,2020/01/16,30.2,22.7,15.0,85 ,65 ,24 ,5.84,,,,,,,
16,2020/01/17,30.6,24.0,17.3,83 ,64 ,33 ,5.84,,,,,,,
17,2020/01/18,33.3,27.2,18.9,83 ,62 ,26 ,0.0,,,,,,,
18,2020/01/19,36.2,29.7,23.3,84 ,61 ,54 ,0.0,,,,,,,
19,2020/01/20,32.6,27.8,23.1,99 ,62 ,60 ,45.72,,,,,,,
20,2020/01/21,32.5,26.2,22.7,99 ,63 ,60 ,63.5,,,,,,,
21,2020/01/22,34.7,26.6,20.4,99 ,73 ,60 ,17.78,,,,,,,
22,2020/01/23,35.3,27.6,21.2,99 ,68 ,60 ,0.0,,,,,,,
23,2020/01/24,34.4,27.1,19.7,99 ,68 ,60 ,0.0,,,,,,,
24,2020/01/25,38.0,29.2,20.4,99 ,69 ,60 ,0.0,,,,,,,
25,2020/01/26,35.0,27.4,21.5,88 ,65 ,60 ,0.0,,,,,,,
26,2020/01/27,33.4,25.2,20.5,78 ,62 ,59 ,0.0,,,,,,,
27,2020/01/28,33.6,25.5,16.4,92 ,68 ,60 ,0.0,,,,,,,
28,2020/01/29,25.5,22.4,19.2,99 ,79 ,60 ,2.79,,,,,,,
29,2020/01/30,29.6,22.5,17.7,99 ,76 ,48 ,2.79,,,,,,,
30,2020/01/31,31.0,23.1,13.4,88 ,66 ,60 ,0.0,,,,,,,
31,2020/02/01,33.9,26.2,17.5,93 ,68 ,60 ,0.0,,,,,,,
32,2020/02/02,36.3,27.6,18.6,99 ,69 ,60 ,0.0,,,,,,,
33,2020/02/03,36.0,28.4,19.0,97 ,67 ,60 ,0.0,,,,,,,
34,2020/02/04,38.0,29.7,21.9,88 ,64 ,60 ,0.0,,,,,,,
35,2020/02/05,28.4,23.2,18.7,99 ,79 ,60 ,93.98,,,,,,,
36,2020/02/06,29.6,23.8,20.2,99 ,79 ,60 ,95.0,,,,,,,
37,2020/02/07,28.3,24.1,22.2,99 ,70 ,60 ,97.79,,,,,,,
38,2020/02/08,22.7,22.2,21.4,99 ,99 ,99 ,0.0,,,,,,,
39,2020/02/09,25.0,21.9,18.5,99 ,81 ,60 ,3.05,,,,,,,
40,2020/02/10,29.6,22.1,15.9,99 ,77 ,60 ,3.05,,,,,,,
41,2020/02/11,32.9,23.5,16.6,90 ,72 ,60 ,0.0,,,,,,,
42,2020/02/12,32.5,25.0,18.3,95 ,69 ,60 ,0.0,,,,,,,
43,2020/02/13,31.5,25.8,19.1,92 ,67 ,60 ,0.0,,,,,,,
44,2020/02/14,33.8,26.4,22.4,96 ,63 ,60 ,0.0,,,,,,,
45,2020/02/15,37.5,28.2,20.6,99 ,70 ,60 ,0.0,,,,,,,
46,2020/02/16,36.1,29.1,24.1,60 ,60 ,60 ,0.0,,,,,,,
47,2020/02/17,30.5,23.3,20.8,99 ,78 ,60 ,54.86,,,,,,,
48,2020/02/18,32.5,22.8,15.8,99 ,75 ,32 ,54.86,,,,,,,
49,2020/02/19,31.6,22.6,15.5,99 ,74 ,60 ,0.0,,,,,,,
50,2020/02/20,29.2,21.7,17.5,99 ,73 ,33 ,0.0,,,,,,,
51,2020/02/21,28.7,20.8,16.0,73 ,61 ,33 ,0.0,,,,,,,
52,2020/02/22,29.3,20.7,9.9,91 ,68 ,36 ,0.0,,,,,,,
53,2020/02/23,27.9,24.7,19.3,75 ,62 ,52 ,0.0,,,,,,,
54,2020/02/24,31.4,23.0,14.6,99 ,73 ,50 ,0.0,,,,,,,
55,2020/02/25,31.5,24.1,18.3,96 ,72 ,60 ,14.22,,,,,,,
56,2020/02/26,33.6,22.8,14.1,91 ,73 ,59 ,14.22,,,,,,,
57,2020/02/27,32.9,23.1,13.9,92 ,71 ,60 ,0.0,,,,,,,
58,2020/02/28,35.4,25.4,15.8,98 ,69 ,60 ,0.0,,,,,,,
59,2020/02/29,35.5,25.9,16.9,98 ,70 ,60 ,0.0,,,,,,,
60,2020/03/01,34.1,25.8,16.8,99 ,71 ,60 ,0.0,,,,,,,
61,2020/03/02,24.5,20.7,17.3,94 ,76 ,60 ,0.0,,,,,,,
62,2020/03/03,34.6,26.3,17.1,86 ,64 ,60 ,0.0,,,,,,,
63,2020/03/04,36.6,27.1,18.8,88 ,66 ,60 ,0.0,,,,,,,
64,2020/03/05,35.3,27.2,19.1,85 ,64 ,44 ,0.0,,,,,,,
65,2020/03/06,32.8,25.6,18.7,92 ,68 ,54 ,0.0,,,,,,,
66,2020/03/07,34.7,26.7,17.9,99 ,68 ,60 ,0.0,,,,,,,
