,temp_high,temp_avg,temp_low,dp_high,dp_avg,dp_low
0,30.3,25.5,21.1,22.4,19.0,14.7
1,31.6,24.7,18.9,22.9,19.7,14.7
2,33.2,28.3,22.7,24.4,19.9,14.8
3,34.4,26.6,19.0,25.5,19.3,14.7
4,34.7,27.1,18.9,25.8,20.4,14.7
5,30.0,23.2,17.6,21.4,16.6,9.2
6,32.0,23.6,13.4,23.3,16.5,10.6
7,35.4,27.4,16.9,26.4,20.5,14.4
8,31.1,26.0,21.5,22.4,18.5,14.7
9,24.2,23.1,22.0,21.4,17.8,14.7
10,33.8,30.1,25.8,24.9,21.5,17.4
11,31.7,27.2,23.8,23.0,18.8,15.6
12,36.0,28.9,23.6,27.0,20.4,15.4
13,36.3,30.2,24.4,27.3,21.6,16.1
14,31.1,25.2,19.6,22.4,17.6,13.4
15,30.2,22.7,15.0,21.6,15.7,10.8
16,30.6,24.0,17.3,21.9,16.8,12.5
17,33.3,27.2,18.9,24.4,19.4,14.0
18,36.2,29.7,23.3,27.2,21.1,15.1
19,32.6,27.8,23.1,23.8,19.3,14.9
20,32.5,26.2,22.7,23.7,17.9,14.7
21,34.7,26.6,20.4,25.8,20.8,14.7
22,35.3,27.6,21.2,26.3,20.7,14.7
23,34.4,27.1,19.7,25.5,20.3,14.7
24,38.0,29.2,20.4,28.9,22.4,14.7
25,35.0,27.4,21.5,26.1,20.0,14.7
26,33.4,25.2,20.5,24.6,17.4,13.8
27,33.6,25.5,16.4,24.8,18.9,14.7
28,25.5,22.4,19.2,21.6,18.2,14.7
29,29.6,22.5,17.7,21.0,17.6,10.9
30,31.0,23.1,13.4,22.3,16.2,10.6
31,33.9,26.2,17.5,25.1,19.4,14.7
32,36.3,27.6,18.6,27.3,21.1,14.7
33,36.0,28.4,19.0,27.0,21.3,14.7
34,38.0,29.7,21.9,28.9,21.9,14.7
35,28.4,23.2,18.7,22.6,18.8,14.7
36,29.6,23.8,20.2,22.7,19.5,14.7
37,28.3,24.1,22.2,22.7,17.9,14.7
38,22.7,22.2,21.4,22.6,22.0,21.2
39,25.0,21.9,18.5,20.9,18.1,14.6
40,29.6,22.1,15.9,21.0,17.3,14.7
41,32.9,23.5,16.6,24.1,18.0,14.6
42,32.5,25.0,18.3,23.7,18.7,14.8
43,31.5,25.8,19.1,22.8,18.9,14.7
44,33.8,26.4,22.4,24.9,18.7,14.7
45,37.5,28.2,20.6,28.4,21.8,14.7
46,36.1,29.1,24.1,27.1,20.6,15.8
47,30.5,23.3,20.8,22.7,18.7,14.7
48,32.5,22.8,15.8,23.7,17.8,12.9
49,31.6,22.6,15.5,22.9,17.3,13.3
50,29.2,21.7,17.5,20.7,16.3,10.3
51,28.7,20.8,16.0,20.2,13.1,9.1
52,29.3,20.7,9.9,20.7,14.4,8.5
53,27.9,24.7,19.3,19.4,16.9,14.7
54,31.4,23.0,14.6,22.7,17.5,13.5
55,31.5,24.1,18.3,22.8,18.5,14.8
56,33.6,22.8,14.1,24.8,17.4,12.2
57,32.9,23.1,13.9,24.1,17.2,12.4
58,35.4,25.4,15.8,26.4,19.0,14.3
59,35.5,25.9,16.9,26.6,19.7,14.7
60,34.1,25.8,16.8,25.2,19.6,14.7
61,24.5,20.7,17.3,18.1,16.1,14.8
62,34.6,26.3,17.1,25.7,18.9,14.5
63,36.6,27.1,18.8,27.6,20.0,14.7
64,35.3,27.2,19.1,26.3,19.8,14.7
65,32.8,25.6,18.7,24.0,19.0,14.6
66,34.7,26.7,17.9,25.8,20.0,14.7
67,36.9,27.5,18.6,27.8,20.9,14.7
68,38.6,28.7,20.6,29.4,21.4,14.6
69,33.2,25.9,19.7,24.4,19.6,14.7
70,38.4,27.7,20.3,29.2,20.5,14.8
71,28.7,22.3,18.3,22.7,18.6,14.6
72,27.2,22.9,19.5,18.8,16.7,14.1
73,19.5,16.6,13.9,17.3,15.8,13.7
74,30.2,22.7,17.4,21.6,17.9,14.7
75,23.3,20.9,17.6,22.7,20.3,14.7
76,17.8,16.8,16.1,17.6,16.6,15.9
77,32.8,26.8,17.3,24.0,18.9,9.4
78,31.1,21.5,12.4,22.4,15.8,11.7
79,30.3,22.4,14.4,21.7,16.9,13.6
80,31.6,23.4,15.1,22.9,17.9,14.6
81,33.2,26.7,19.0,24.4,19.4,14.7
82,34.5,26.6,18.9,25.6,19.9,14.7
83,26.5,21.9,18.3,21.9,19.0,14.7
84,26.3,20.7,18.3,22.1,18.7,14.7
85,23.7,20.9,17.3,22.1,19.3,14.7
86,28.4,21.2,16.9,22.3,18.2,14.7
87,32.9,23.7,18.5,24.1,19.9,14.7
88,35.1,24.2,17.0,26.2,19.2,14.6
89,31.3,24.8,20.9,22.6,19.6,14.7
90,28.6,23.4,19.1,22.7,19.9,14.7
91,26.7,19.8,14.3,18.6,14.8,9.6
92,27.7,17.6,0.0,19.2,11.8,7.2
93,28.0,19.0,10.8,19.5,14.3,10.4
94,30.1,20.9,14.3,21.5,16.7,13.9
95,24.4,18.7,14.3,17.3,11.2,3.4
96,25.2,20.2,0.0,16.9,8.7,4.0
97,,,,,,
98,26.8,19.9,9.8,18.4,12.9,7.8
99,21.8,12.6,9.4,14.6,9.6,7.5
100,26.2,21.8,0.0,17.8,13.8,10.7
101,27.4,19.8,11.1,18.9,13.9,10.2
102,23.9,17.5,12.9,16.6,13.7,10.2
103,27.4,16.6,0.0,18.9,11.7,7.6
104,28.1,17.5,8.6,19.6,11.4,6.4
105,26.7,17.8,10.2,18.3,12.3,8.5
106,27.7,18.8,11.2,19.2,12.6,7.1
107,27.5,18.7,0.0,19.1,13.2,9.2
108,30.2,20.4,11.6,21.6,15.4,11.4
109,25.5,16.8,13.9,18.7,15.0,13.6
110,30.5,20.2,14.1,21.8,15.8,12.7
111,28.3,21.2,15.6,19.8,16.8,14.7
112,30.0,23.4,17.8,21.4,17.3,14.7
113,35.6,26.1,18.0,26.7,19.5,14.7
114,26.0,20.3,18.0,20.1,17.8,14.6
115,20.1,18.2,16.6,19.7,18.0,16.4
116,20.7,19.6,18.5,20.6,19.4,18.3
117,24.4,19.3,12.2,20.1,16.7,9.8
118,28.9,16.5,8.3,20.3,10.2,5.9
119,25.8,18.9,14.8,17.4,13.0,9.1
120,30.3,19.5,11.3,21.7,14.5,9.4
121,25.0,21.8,18.1,16.7,14.0,10.8
122,21.2,16.8,16.1,14.3,12.2,11.7
123,25.6,18.7,13.8,17.3,14.7,13.1
124,19.9,14.0,0.0,14.4,9.2,3.6
125,22.7,11.2,3.8,8.4,4.7,2.0
126,20.7,11.5,3.5,9.2,6.6,3.3
127,21.0,10.1,6.1,9.9,7.2,5.6
128,27.3,20.4,12.4,18.8,11.9,6.8
129,32.1,19.6,0.0,23.4,13.0,8.4
130,23.7,16.8,11.0,15.5,6.0,1.8
131,23.3,14.5,8.1,15.1,4.8,1.7
132,18.9,10.7,6.4,7.0,4.1,1.8
133,21.3,11.7,3.2,9.4,5.0,1.7
134,30.4,15.7,6.8,21.8,10.2,4.3
135,32.4,22.6,11.1,23.6,15.7,9.4
136,32.2,19.2,10.8,23.4,13.7,9.8
137,28.7,18.9,11.1,20.2,12.7,9.3
138,17.4,13.0,12.1,12.6,7.3,5.2
139,25.5,19.7,14.0,17.3,14.1,10.6
140,14.9,13.4,12.0,10.6,9.1,7.6
141,14.7,11.2,5.7,8.4,4.1,0.1
142,20.7,8.9,1.3,5.7,0.5,5.7
143,25.0,11.6,2.3,16.7,5.1,4.7
144,23.2,14.8,7.4,15.0,3.6,1.0
145,14.3,8.6,0.0,8.9,3.6,0.9
146,25.9,15.5,7.1,17.6,9.2,5.6
147,27.1,16.5,9.4,18.7,11.0,7.3
148,27.1,16.0,7.3,18.7,11.2,5.4
149,12.3,10.8,9.0,9.7,6.4,3.4
150,17.8,10.5,4.3,5.1,2.9,0.5
151,19.9,8.7,0.8,4.1,0.0,6.1
152,19.0,9.3,1.3,5.8,1.3,5.7
153,16.5,10.6,3.4,9.2,6.1,2.6
154,20.3,12.0,5.9,10.4,6.9,4.2
155,18.0,11.3,7.9,9.2,6.6,4.5
156,24.0,11.0,3.1,15.8,6.2,1.3
157,22.0,11.5,3.9,13.0,7.6,3.7
158,23.4,13.4,6.2,15.2,10.4,6.1
159,25.0,14.5,6.6,16.7,10.7,6.4
160,25.3,15.2,9.7,16.9,11.6,8.2
161,22.9,14.3,6.9,14.8,11.0,6.6
162,23.0,15.1,8.3,14.8,7.3,1.6
163,17.1,10.3,0.0,2.8,1.8,5.9
164,15.7,12.7,8.9,3.4,1.2,0.1
165,18.5,11.5,0.0,8.2,4.9,1.7
166,25.9,16.2,6.3,19.7,13.3,5.6
167,29.1,21.1,13.7,20.6,16.5,8.3
168,25.5,15.3,9.6,17.2,7.1,3.4
169,25.5,13.9,6.7,17.2,9.6,5.0
170,15.6,10.1,6.0,14.1,9.5,5.1
171,19.9,12.9,7.0,12.0,6.7,0.6
172,19.9,10.9,2.8,12.6,5.9,4.2
173,15.0,13.0,11.4,13.2,12.1,10.6
174,14.1,10.2,5.6,11.4,8.4,3.7
175,19.0,9.0,3.6,5.4,2.4,0.4
176,15.4,6.7,0.6,7.2,0.5,7.4
177,18.0,7.4,1.4,6.0,0.3,8.2
178,17.7,8.8,1.7,7.7,2.0,5.2
179,19.4,10.3,2.6,13.0,7.3,4.4
180,16.3,10.9,7.8,9.6,6.4,3.7
181,12.2,9.0,5.6,8.3,5.8,4.2
182,18.2,9.3,4.2,7.8,5.1,2.9
183,19.5,9.7,2.1,7.9,3.7,4.8
184,18.4,10.4,3.9,8.8,5.9,2.2
185,17.6,8.9,4.4,5.7,2.7,0.2
186,13.7,7.8,0.9,5.8,0.4,7.7
187,10.0,7.3,3.8,6.1,3.6,1.3
188,15.9,5.4,2.1,7.3,0.7,8.8
189,17.0,7.3,2.0,7.3,1.2,8.7
190,19.5,11.3,0.0,9.5,6.6,3.7
191,20.0,9.8,1.9,4.5,0.7,6.7
192,19.5,9.8,3.5,1.3,1.8,5.8
193,16.5,7.1,1.0,2.8,1.1,5.9
194,16.6,7.9,0.1,5.1,0.8,6.7
195,16.3,8.8,2.5,3.4,1.1,4.5
196,23.3,16.7,9.8,15.1,3.2,0.8
197,17.0,9.9,4.0,12.6,8.1,2.5
198,17.9,13.5,10.8,17.7,13.4,10.6
199,15.2,13.7,12.2,15.1,13.5,12.1
200,14.5,11.8,10.1,14.3,11.6,9.9
201,14.8,12.5,11.0,14.4,12.4,10.8
202,15.5,12.4,10.3,11.8,10.4,7.6
203,11.1,7.9,5.0,7.8,5.1,2.8
204,19.4,6.4,2.6,5.3,0.8,9.3
205,19.0,9.1,0.3,3.0,2.0,7.1
206,19.3,11.4,3.6,3.8,1.5,0.1
207,19.3,10.9,4.2,3.2,0.5,4.3
208,18.5,8.3,0.5,0.6,3.7,6.4
209,16.7,7.3,1.5,1.1,4.3,8.3
210,16.3,7.9,1.6,2.6,1.5,8.4
211,22.9,10.8,0.8,4.7,0.9,6.1
212,25.9,15.2,0.0,17.6,9.5,1.8
213,26.5,18.4,11.8,18.1,14.2,11.2
214,30.6,21.0,13.3,21.9,15.5,11.2
215,30.4,22.7,15.2,21.8,15.0,10.3
216,34.8,24.2,15.7,25.9,16.5,11.7
217,17.8,15.2,10.8,12.7,3.5,1.4
218,17.4,11.5,7.8,9.6,5.5,0.9
219,22.8,15.4,10.7,14.6,11.6,9.5
220,25.9,16.3,0.0,17.6,12.7,8.6
221,20.3,14.5,0.0,12.4,9.6,7.8
222,18.7,9.7,1.8,3.1,6.7,10.4
223,17.8,8.7,3.6,2.9,5.1,6.9
224,26.3,18.8,0.0,,,
225,27.5,14.5,3.8,4.8,0.8,1.3
226,12.8,8.6,2.2,1.9,4.4,8.9
227,17.7,6.5,2.5,2.4,8.1,11.8
228,22.6,19.2,15.0,,,
229,28.5,18.0,0.0,13.3,6.0,2.1
230,32.3,24.3,0.0,17.6,13.9,11.2
231,21.1,16.0,11.3,15.1,11.6,8.9
232,22.9,14.2,7.6,9.4,6.0,3.2
233,27.6,15.6,5.6,16.4,9.5,1.5
234,17.2,15.3,11.7,15.5,8.4,3.7
235,20.4,13.3,7.8,5.9,1.1,3.6
236,12.3,11.1,10.4,2.0,0.2,1.6
237,10.4,9.1,8.3,7.2,4.7,1.2
238,9.5,9.4,9.1,8.4,8.3,6.4
239,18.5,10.9,7.1,11.3,8.5,6.7
240,21.4,13.0,4.3,18.2,10.6,4.1
241,23.6,12.6,9.1,20.3,10.5,7.3
242,20.9,15.9,11.3,17.7,10.3,7.4
243,22.8,13.9,8.1,19.6,10.5,5.4
244,16.8,16.7,9.4,6.4,0.1,0.0
245,9.4,9.4,9.4,6.4,6.4,6.4
246,23.1,20.9,9.4,19.9,18.2,6.4
247,24.8,16.9,9.2,21.5,7.1,4.8
248,22.9,14.1,5.9,19.7,5.6,2.8
249,9.4,9.4,9.4,6.4,6.4,6.4
250,26.1,18.9,8.4,22.8,11.1,2.3
251,24.9,15.1,4.3,21.6,6.5,4.6
252,26.5,17.0,0.0,23.2,9.1,2.6
253,32.1,18.0,0.0,28.7,10.7,1.1
254,18.5,13.9,9.4,6.4,1.4,3.7
255,15.8,14.7,0.0,6.4,0.1,1.3
256,18.2,13.7,0.0,6.4,3.9,1.9
257,31.6,18.0,9.4,28.2,11.5,4.9
258,26.6,20.6,9.4,16.1,9.6,6.4
259,29.3,20.1,9.4,15.5,12.6,6.4
260,9.4,9.4,9.4,6.4,6.4,6.4
261,21.4,15.4,9.4,12.2,9.3,6.4
262,16.9,14.6,9.4,15.7,14.4,6.4
263,15.8,13.2,9.4,14.6,12.2,6.4
264,22.1,17.9,9.4,20.3,17.2,6.4
265,26.0,20.2,9.4,22.0,19.0,6.4
266,31.4,24.2,9.4,24.6,21.4,6.4
267,9.4,9.4,9.4,6.4,6.4,6.4
268,18.9,14.2,9.4,6.4,2.9,0.1
269,27.6,16.0,9.4,8.9,6.6,4.0
270,30.1,18.9,9.4,10.2,6.1,1.7
271,30.4,18.8,9.4,11.6,7.8,4.7
272,9.4,9.4,9.4,6.4,6.4,6.4
273,23.8,20.8,9.4,8.9,8.6,6.4
274,31.3,23.0,9.4,10.9,8.6,5.6
275,22.2,21.6,9.4,6.4,4.8,4.7
276,31.3,25.3,9.4,16.0,15.1,6.4
277,28.8,21.1,9.4,18.8,15.6,6.4
278,35.0,24.2,9.4,17.3,15.0,6.4
279,32.5,24.2,9.4,14.6,13.2,6.4
280,35.3,26.4,9.4,16.3,11.4,6.4
281,25.3,20.1,9.4,18.8,14.2,6.4
282,21.6,20.3,9.4,12.7,12.0,6.4
283,24.7,21.9,9.4,11.4,10.7,6.4
284,9.4,9.4,9.4,6.4,6.4,6.4
285,9.4,9.4,9.4,6.4,6.4,6.4
286,38.1,33.5,9.4,13.2,12.0,6.4
287,41.2,30.0,9.4,19.5,14.9,6.4
288,27.0,22.7,9.4,19.3,18.0,6.4
289,28.6,22.7,9.4,18.4,12.6,5.7
290,35.2,26.4,9.4,18.8,14.4,6.4
291,36.4,26.7,9.4,23.1,19.9,6.4
292,34.6,22.2,9.4,22.5,19.1,6.4
293,30.1,22.3,9.4,17.9,12.7,6.4
294,34.9,25.9,9.4,19.6,14.4,6.4
295,28.4,22.0,9.4,20.9,18.2,6.4
296,34.6,24.2,9.4,20.1,14.9,6.4
297,21.1,16.1,9.4,14.2,11.3,6.4
298,30.2,19.9,9.4,10.9,8.1,5.3
299,32.3,22.1,9.4,12.0,9.9,6.4
300,32.1,23.9,9.4,14.6,11.3,6.4
301,35.4,26.0,9.4,18.4,14.7,6.4
302,36.8,27.9,9.4,18.9,16.5,6.4
303,29.0,23.0,9.4,19.1,17.3,6.4
304,31.0,26.3,9.4,15.1,4.5,1.2
305,33.3,23.8,9.4,19.7,13.9,5.1
306,21.6,19.2,9.4,18.3,15.2,6.4
307,9.4,9.4,9.4,6.4,6.4,6.4
308,9.4,9.4,9.4,6.4,6.4,6.4
309,9.4,9.4,9.4,6.4,6.4,6.4
310,35.5,19.4,9.4,11.8,8.5,6.4
311,36.8,34.1,9.4,19.3,18.0,6.4
312,28.7,24.7,9.4,18.9,12.0,6.4
313,30.5,22.7,9.4,14.0,11.8,6.4
314,32.7,24.1,9.4,15.2,11.9,6.4
315,30.8,22.7,9.4,16.4,13.3,6.4
316,34.1,26.1,9.4,15.8,12.2,6.4
317,35.9,27.7,9.4,19.2,15.3,6.4
318,38.1,26.2,9.4,21.0,18.4,6.4
