;TMIN(C);TMED(C);TMAX(C);RAD(MJ/M2);LLUVIA(mm);T-TD(C);GRANIZO;COND_HELADAS;FECHA
0;15.5;19.5;23.9;6.3;0.0;6.8;0.0;0.0;20220424
1;20.5;22.7;25.9;10.4;1.0;3.3;1.0;0.0;20220425
2;20.6;24.6;30.1;9.3;0.1;4.1;1.0;0.0;20220426
3;18.1;21.1;27.1;9.3;1.3;6.6;1.0;0.0;20220427
4;15.3;17.2;20.5;4.5;1.2;7.9;0.0;0.0;20220428
5;13.2;16.1;19.5;9.5;0.0;8.6;0.0;0.0;20220429
6;13.9;15.8;18.5;4.4;1.0;5.9;0.0;0.0;20220430
7;13.7;15.3;17.8;3.7;4.9;4.5;0.0;0.0;20220501
8;12.6;15.0;18.5;8.0;1.7;6.1;0.0;0.0;20220502
9;11.6;14.8;18.9;10.7;0.0;7.7;0.0;0.0;20220503
10;12.0;15.4;19.7;9.7;0.0;7.0;0.0;0.0;20220504
11;12.7;16.4;20.8;10.3;0.0;6.9;0.0;0.0;20220505
12;13.3;17.0;21.7;10.7;0.0;7.2;0.0;0.0;20220506
13;13.6;17.4;22.5;10.1;0.2;7.5;0.0;0.0;20220507
14;14.1;17.7;22.2;9.6;0.1;7.3;0.0;0.0;20220508
15;11.0;14.6;18.7;4.6;0.2;4.3;0.0;0.0;20220507
16;9.3;13.3;17.9;5.0;0.0;5.2;0.0;0.0;20220508
17;8.5;12.9;18.8;6.6;0.0;7.1;0.0;0.0;20220509
18;8.1;12.7;18.6;6.9;0.1;6.6;0.0;0.0;20220510
19;9.2;13.8;19.5;5.4;0.2;5.2;0.0;0.0;20220511
20;10.5;14.1;19.7;5.9;0.2;4.8;0.0;0.0;20220512
21;11.3;14.7;18.7;5.1;0.2;4.2;0.0;0.0;20220513
22;12.0;15.7;19.8;5.4;1.3;3.6;0.0;0.0;20220514
23;13.6;16.0;20.0;3.9;6.7;3.0;0.0;0.0;20220515
24;13.3;16.0;19.1;2.9;13.3;2.6;0.0;0.0;20220516
25;12.4;15.7;20.6;4.5;0.1;3.6;0.0;0.0;20220517
26;12.7;15.3;20.2;3.8;0.7;3.6;0.0;0.0;20220518
27;11.9;13.9;17.2;4.0;0.4;5.0;0.0;0.0;20220519
28;10.6;14.4;19.5;5.1;0.2;5.2;0.0;0.0;20220520
29;11.4;14.4;19.3;4.8;0.0;4.6;0.0;0.0;20220521
30;11.5;14.3;18.7;3.3;0.3;5.5;0.0;0.0;20220522
31;11.9;14.3;17.9;3.0;0.2;4.5;0.0;0.0;20220523
32;11.4;13.4;17.1;2.4;1.7;3.8;0.0;0.0;20220524
33;10.6;13.3;16.6;3.3;2.0;3.6;0.0;0.0;20220525
34;8.6;12.1;16.8;3.8;0.5;6.0;0.0;0.0;20220526
35;6.7;10.8;16.7;5.1;0.1;6.2;0.0;1.0;20220527
36;8.3;11.4;16.3;5.5;0.0;5.2;0.0;0.0;20220528
37;7.3;12.0;17.9;5.5;0.0;4.9;0.0;0.0;20220529
38;9.0;12.0;16.7;3.8;0.2;5.3;0.0;0.0;20220530
39;10.1;13.0;18.1;5.5;0.1;4.9;0.0;0.0;20220531
40;9.9;13.6;18.8;5.5;0.1;4.4;0.0;0.0;20220601
41;10.8;13.6;18.0;5.4;0.2;4.4;0.0;0.0;20220602
42;10.6;13.6;17.8;4.0;0.7;4.1;0.0;0.0;20220603
43;10.8;13.1;17.0;5.1;0.2;4.5;0.0;0.0;20220604
44;10.8;12.8;15.4;3.3;0.6;4.0;0.0;0.0;20220605
45;11.4;13.9;17.9;4.4;0.6;4.1;0.0;0.0;20220606
46;10.0;13.0;16.7;2.9;0.5;3.9;0.0;0.0;20220607
47;10.5;13.5;17.0;4.3;0.5;4.4;0.0;0.0;20220608
48;11.2;13.3;15.8;2.2;1.1;4.6;0.0;0.0;20220609
49;9.2;12.7;18.0;3.8;2.3;5.4;0.0;0.0;20220610
50;7.9;11.4;16.0;4.0;0.0;6.5;0.0;0.0;20220611
51;7.5;11.0;15.7;4.0;0.1;7.4;0.0;0.0;20220612
52;7.0;9.8;14.0;3.5;0.1;7.5;0.0;0.0;20220613
53;5.7;10.1;15.4;4.5;0.0;6.6;0.0;1.0;20220614
54;6.8;10.3;16.1;5.1;0.0;5.2;0.0;1.0;20220615
55;7.8;11.4;16.0;5.1;0.2;4.4;0.0;0.0;20220616
56;10.6;12.7;15.7;1.6;2.9;3.1;0.0;0.0;20220617
57;11.6;14.4;18.4;3.6;0.3;4.0;0.0;0.0;20220618
58;11.6;13.4;16.2;2.6;15.9;4.8;0.0;0.0;20220619
59;10.1;12.5;15.7;3.0;1.2;4.0;0.0;0.0;20220620
60;9.6;13.1;17.1;4.2;0.4;3.7;0.0;0.0;20220621
61;9.6;13.3;18.6;4.8;0.5;4.3;0.0;0.0;20220622
