,Temperature,Dew Point,Humidity,Speed,Pressure,Precip. Accum.,,,,,,,,,
Date,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Low,Sum
1/1/2020,30.3 C,25.5 C,21.1 C,22.4 C,19.0 C,14.7 C,99 %,70 %,46 %,15.1 km/h,2.9 km/h,0.0 km/h,997.56 hPa,994.68 hPa,0.00 mm
1/2/2020,31.6 C,24.7 C,18.9 C,22.9 C,19.7 C,14.7 C,98 %,75 %,45 %,17.5 km/h,4.7 km/h,0.0 km/h,"1,000.00 hPa",997.26 hPa,0.00 mm
1/3/2020,33.2 C,28.3 C,22.7 C,24.4 C,19.9 C,14.8 C,70 %,60 %,40 %,17.5 km/h,6.9 km/h,0.0 km/h,999.26 hPa,996.75 hPa,0.00 mm
1/4/2020,34.4 C,26.6 C,19.0 C,25.5 C,19.3 C,14.7 C,84 %,65 %,38 %,19.2 km/h,4.5 km/h,0.0 km/h,998.24 hPa,989.88 hPa,0.00 mm
1/5/2020,34.7 C,27.1 C,18.9 C,25.8 C,20.4 C,14.7 C,92 %,67 %,35 %,32.5 km/h,8.2 km/h,0.0 km/h,990.38 hPa,978.50 hPa,0.00 mm
1/6/2020,30.0 C,23.2 C,17.6 C,21.4 C,16.6 C,9.2 C,88 %,67 %,31 %,22.5 km/h,4.8 km/h,0.0 km/h,994.01 hPa,988.69 hPa,0.00 mm
1/7/2020,32.0 C,23.6 C,13.4 C,23.3 C,16.5 C,10.6 C,89 %,65 %,24 %,25.7 km/h,6.2 km/h,0.0 km/h,994.89 hPa,988.76 hPa,0.00 mm
1/8/2020,35.4 C,27.4 C,16.9 C,26.4 C,20.5 C,14.4 C,93 %,67 %,44 %,32.5 km/h,9.8 km/h,0.0 km/h,990.99 hPa,982.49 hPa,0.00 mm
1/9/2020,31.1 C,26.0 C,21.5 C,22.4 C,18.5 C,14.7 C,86 %,65 %,60 %,29.1 km/h,7.3 km/h,0.0 km/h,992.18 hPa,984.49 hPa,0.00 mm
1/10/2020,24.2 C,23.1 C,22.0 C,21.4 C,17.8 C,14.7 C,98 %,76 %,60 %,21.7 km/h,2.9 km/h,0.0 km/h,992.08 hPa,990.08 hPa,3.05 mm
1/11/2020,33.8 C,30.1 C,25.8 C,24.9 C,21.5 C,17.4 C,99 %,63 %,51 %,15.9 km/h,5.8 km/h,0.0 km/h,994.99 hPa,989.67 hPa,3.05 mm
1/12/2020,31.7 C,27.2 C,23.8 C,23.0 C,18.8 C,15.6 C,92 %,62 %,60 %,23.3 km/h,5.7 km/h,0.0 km/h,997.77 hPa,993.06 hPa,3.05 mm
