YEAR,MO,DY,T2M_MAX,T2M_MIN,RAD (mj/m2)
2021,10,1,27.83,10.3,16.21372549
2021,10,2,32.01,13.13,16.37
2021,10,3,22.97,11.8,16.29803922
2021,10,4,26.55,8.62,16.35098039
2021,10,5,28.85,8.98,18.27843137
2021,10,6,23.9,12.48,19.01176471
2021,10,7,25.01,10.15,18.4745098
2021,10,8,27.84,11.8,17.85490196
2021,10,9,28.63,12.85,18.92941176
2021,10,10,26.21,15.15,17.2372549
2021,10,11,29.82,12.08,17.97647059
2021,10,12,32.46,14.72,17.38235294
2021,10,13,28.62,15.35,17.8254902
2021,10,14,30.86,12.47,17.91176471
2021,10,15,23.14,11.23,17.22745098
2021,10,16,24.92,9.05,18.85098039
2021,10,17,27.9,9.14,20.22352941
2021,10,18,28.6,10.43,19.17058824
2021,10,19,30.79,14.73,20.2254902
2021,10,20,31.99,13.1,19.56666667
2021,10,21,33.11,14.89,19.28823529
2021,10,22,35.11,17.26,16.48235294
2021,10,23,27.69,14.39,17.9745098
2021,10,24,30.96,10.08,18.23137255
2021,10,25,39.28,13.22,17.87647059
2021,10,26,39.34,16.18,18.64117647
2021,10,27,37.8,17.22,18.90784314
2021,10,28,38.11,21.34,19.51960784
2021,10,29,39.1,19.27,18.71960784
2021,10,30,38.85,20.74,18.50980392
2021,10,31,30.11,18.1,18.80392157
2021,11,1,23.67,16.33,18.43265306
2021,11,2,21.73,15.63,19.286
2021,11,3,32.24,14.69,19.616
2021,11,4,28.36,13.23,21.208
2021,11,5,23.52,12.13,20.158
2021,11,6,24.92,9.86,21.894
2021,11,7,28.78,11.73,20.588
2021,11,8,29.92,18.12,20.14
2021,11,9,27.62,18.52,19.698
2021,11,10,28.03,17.06,19.786
2021,11,11,30.76,16.9,20.45
2021,11,12,33.19,16.29,21.316
2021,11,13,36.58,15.9,21.81020408
2021,11,14,29.76,14.69,22.512
2021,11,15,31.8,14.02,22.394
2021,11,16,24.9,13.76,19.974
2021,11,17,25.88,9.52,22.276
2021,11,18,31.27,11.19,22.062
2021,11,19,33.89,13.8,23.532
2021,11,20,35.56,16.36,21.71
2021,11,21,36.83,15.72,21.72
2021,11,22,39.35,18.6,21.248
2021,11,23,32.9,20.43,21.546
2021,11,24,37.07,19.51,21.358
2021,11,25,33.55,16.25,22.474
2021,11,26,34.05,17.79,22.35
2021,11,27,34.05,18.69,23.042
2021,11,28,28.8,14.79,22.608
2021,11,29,32.24,13.75,22.244
2021,11,30,32.77,17.86,21.998
