,,,,,,,
Date,High,Avg,Low,High,Avg,Low,Sum
1/1/2020,30.3 C,25.5 C,21.1 C,22.4 C,19.0 C,14.7 C,0.00 mm
1/2/2020,31.6 C,24.7 C,18.9 C,22.9 C,19.7 C,14.7 C,0.00 mm
1/3/2020,33.2 C,28.3 C,22.7 C,24.4 C,19.9 C,14.8 C,0.00 mm
1/4/2020,34.4 C,26.6 C,19.0 C,25.5 C,19.3 C,14.7 C,0.00 mm
1/5/2020,34.7 C,27.1 C,18.9 C,25.8 C,20.4 C,14.7 C,0.00 mm
1/6/2020,30.0 C,23.2 C,17.6 C,21.4 C,16.6 C,9.2 C,0.00 mm
1/7/2020,32.0 C,23.6 C,13.4 C,23.3 C,16.5 C,10.6 C,0.00 mm
1/8/2020,35.4 C,27.4 C,16.9 C,26.4 C,20.5 C,14.4 C,0.00 mm
1/9/2020,31.1 C,26.0 C,21.5 C,22.4 C,18.5 C,14.7 C,0.00 mm
1/10/2020,24.2 C,23.1 C,22.0 C,21.4 C,17.8 C,14.7 C,3.05 mm
1/11/2020,33.8 C,30.1 C,25.8 C,24.9 C,21.5 C,17.4 C,3.05 mm
1/12/2020,31.7 C,27.2 C,23.8 C,23.0 C,18.8 C,15.6 C,3.05 mm
1/13/2020,36.0 C,28.9 C,23.6 C,27.0 C,20.4 C,15.4 C,3.05 mm
1/14/2020,36.3 C,30.2 C,24.4 C,27.3 C,21.6 C,16.1 C,3.05 mm
1/15/2020,31.1 C,25.2 C,19.6 C,22.4 C,17.6 C,13.4 C,5.84 mm
1/16/2020,30.2 C,22.7 C,15.0 C,21.6 C,15.7 C,10.8 C,5.84 mm
1/17/2020,30.6 C,24.0 C,17.3 C,21.9 C,16.8 C,12.5 C,5.84 mm
1/18/2020,33.3 C,27.2 C,18.9 C,24.4 C,19.4 C,14.0 C,0.00 mm
1/19/2020,36.2 C,29.7 C,23.3 C,27.2 C,21.1 C,15.1 C,0.00 mm
1/20/2020,32.6 C,27.8 C,23.1 C,23.8 C,19.3 C,14.9 C,45.72 mm
1/21/2020,32.5 C,26.2 C,22.7 C,23.7 C,17.9 C,14.7 C,63.50 mm
1/22/2020,34.7 C,26.6 C,20.4 C,25.8 C,20.8 C,14.7 C,17.78 mm
1/23/2020,35.3 C,27.6 C,21.2 C,26.3 C,20.7 C,14.7 C,0.00 mm
1/24/2020,34.4 C,27.1 C,19.7 C,25.5 C,20.3 C,14.7 C,0.00 mm
1/25/2020,38.0 C,29.2 C,20.4 C,28.9 C,22.4 C,14.7 C,0.00 mm
1/26/2020,35.0 C,27.4 C,21.5 C,26.1 C,20.0 C,14.7 C,0.00 mm
1/27/2020,33.4 C,25.2 C,20.5 C,24.6 C,17.4 C,13.8 C,0.00 mm
1/28/2020,33.6 C,25.5 C,16.4 C,24.8 C,18.9 C,14.7 C,0.00 mm
1/29/2020,25.5 C,22.4 C,19.2 C,21.6 C,18.2 C,14.7 C,2.79 mm
1/30/2020,29.6 C,22.5 C,17.7 C,21.0 C,17.6 C,10.9 C,2.79 mm
1/31/2020,31.0 C,23.1 C,13.4 C,22.3 C,16.2 C,10.6 C,0.00 mm
2/1/2020,33.9 C,26.2 C,17.5 C,25.1 C,19.4 C,14.7 C,0.00 mm
