YEAR,DOY,DIA,MES,PAR,TMED,T_MAX,T_MIN,pp,Hrel,wind2m
2020,336,1,12,166.65,26.34,33.94,17.36,2.06,55.06,2.19
2020,337,2,12,159.73,24.21,27.48,19.31,30.07,79.81,2.31
2020,338,3,12,167.46,24.69,32.49,16.12,0.3,55.81,2.28
2020,339,4,12,168.08,18.73,24.15,13.35,4.2,57.69,3.59
2020,340,5,12,170.81,19.14,26.66,11.07,0,49.88,2
2020,341,6,12,171.04,21.89,29.4,15.2,0,47.56,1.87
2020,342,7,12,170.58,23.69,32.05,14.76,0,49.44,2.32
2020,343,8,12,170.72,27.05,36.4,17.08,0,51.19,2.37
2020,344,9,12,170.23,28.89,38.05,19.46,0,48.31,2.3
2020,345,10,12,172.8,30.54,40.05,20.4,0,38.44,4.11
2020,346,11,12,166.91,25.97,33.55,19.26,0,34.31,4.3
2020,347,12,12,166.34,27.07,36.21,17.4,1.47,48.75,1.8
2020,348,13,12,163.58,23.44,30.05,16.37,4.97,52.06,3.76
2020,349,14,12,173.27,23.91,33.89,12.66,0,39.06,3.06
2020,350,15,12,167.52,25.56,35.31,15.65,0,37.06,3.38
2020,351,16,12,171.95,24.18,32.37,17.74,0,48.5,2.21
2020,352,17,12,171.75,27.58,36.67,17.16,0.03,47.31,2.43
2020,353,18,12,169.7,29.32,35.8,21.85,4.79,56.06,2.93
2020,354,19,12,171.29,23.73,31.63,16.03,16.51,49.94,3.53
2020,355,20,12,170.62,23.86,31.47,15.96,0,47.12,2.34
2020,356,21,12,174.35,25.39,34.11,16.38,0,45.25,2.02
2020,357,22,12,174.61,26.74,35.44,17.77,0,44.75,2.93
2020,358,23,12,173.29,27.3,36.22,18.24,0,40.06,2.47
2020,359,24,12,172.08,29.35,38.3,19.98,0,42.94,2.41
2020,360,25,12,165.26,28.01,34.4,21.58,4.77,53.31,1.59
2020,361,26,12,167.39,30.08,36.46,23.89,0.04,48.25,1.6
2020,362,27,12,165.81,30.68,37.06,23.13,0.92,49.81,2.51
2020,363,28,12,167.21,28.33,35.09,22.45,17.93,64.94,2.42
2020,364,29,12,168.16,28.54,36.66,20.61,0,58.75,1.7
2020,365,30,12,168.08,22.41,25.72,17.88,2.84,55.31,3.63
2020,366,31,12,173.05,23.19,32.36,13.12,0,42,1.63
2021,1,1,1,173.2,27.2,36.11,16.69,0,41.94,2.71
2021,2,2,1,172.58,29.38,37.02,20.69,0.15,40.94,3.32
2021,3,3,1,165.02,22.63,25.93,18.92,8.03,66.25,2.36
2021,4,4,1,169.06,26.37,34.39,18.16,5.86,58.75,1.2
2021,5,5,1,164.16,25.68,31.18,20.4,0.02,55.94,3.26
2021,6,6,1,170.95,24.55,32.56,16.93,0,52.88,2.26
2021,7,7,1,172.37,27.26,37.01,16.86,0,43.69,1.11
2021,8,8,1,169.83,28.35,35.57,20.57,0.1,46.88,1.11
2021,9,9,1,166.58,21.75,28.51,16.24,19.41,74.56,2.44
2021,10,10,1,166.44,28.35,34.09,20.9,4.85,67.94,3
2021,11,11,1,161.75,29.08,34.54,22.51,5.03,64.81,3.63
2021,12,12,1,167.61,22.3,27.12,18.08,1.95,58.94,3.18
2021,13,13,1,169.04,25.87,32.44,19.3,0.03,58.44,2.51
2021,14,14,1,165.24,26.46,32.12,21.07,0.04,61.25,2.68
2021,15,15,1,162.38,27.06,32.9,22.61,19.22,72.12,2.03
2021,16,16,1,155.57,21.34,23.9,17.07,29.33,78.56,3.83
2021,17,17,1,169.81,21.84,30.62,13.19,0,52.88,2.68
2021,18,18,1,170.38,23.65,32.23,14.91,0,51.12,1.45
2021,19,19,1,169.24,24.37,33.55,14.92,0,51.75,1.84
2021,20,20,1,168.98,26.63,34.55,18.54,0,51.69,1.84
2021,21,21,1,166.88,26.94,34.98,17.98,0,53.69,1.88
2021,22,22,1,165.02,27.97,34.48,21.06,0,60.25,2
2021,23,23,1,162.69,29.62,35.4,23.58,0,61.12,2.05
2021,24,24,1,159.6,30.37,36.24,24.15,0.36,61.69,1.99
2021,25,25,1,160.28,30.25,36.18,24.08,5.54,64.69,2.2
2021,26,26,1,157.45,27.26,31.07,24.63,12.11,75.56,1.39
2021,27,27,1,161.41,28.63,35.29,22.15,1.59,64.38,1.88
2021,28,28,1,160.66,29.16,36.78,21.9,0.89,60.5,2.55
2021,29,29,1,156.99,24.21,28.73,21.73,41.73,81.62,2.14
2021,30,30,1,149.38,21.22,22.51,17.06,28.23,84.06,3.25
2021,31,31,1,160.84,19.58,25.08,14.59,2.94,75.38,3.46
2021,32,1,2,158.02,20.57,26.25,15.29,7.49,77.44,2.71
2021,33,2,2,156.64,20.78,24.4,17.82,0.78,77.12,3.02
2021,34,3,2,156.95,21.8,28.96,16.23,5.23,72.88,2.52
2021,35,4,2,159.99,22.48,29.76,15.11,0,66.25,2
2021,36,5,2,161.44,24.18,31.42,17.55,0,61.75,1.03
2021,37,6,2,160.76,24.62,32.98,16.21,0,62.25,1.62
2021,38,7,2,159.25,25.87,33.98,17.33,0,64,1.99
2021,39,8,2,153.07,25.52,31.73,21.09,0.16,64.75,1.99
2021,40,9,2,148.88,23.06,27.73,18.62,0.13,66.19,2.39
2021,41,10,2,151.11,22.73,28.78,17.15,0,64.38,1.87
2021,42,11,2,150.79,23.8,30.87,16.87,0.55,62.69,1.2
2021,43,12,2,149.89,25.82,31.95,18.8,1.65,61.12,0.86
2021,44,13,2,150.11,25.42,32.44,19.26,6.9,63.06,1.68
2021,45,14,2,151.16,27.21,36.14,18.37,2.5,56.25,1.7
2021,46,15,2,151.05,25.79,32.13,20.44,0.8,64.94,1.9
2021,47,16,2,151.55,24.69,31.28,18.15,0.2,66.56,1.23
2021,48,17,2,152.9,26.01,33.9,18.91,0,54.06,0.81
2021,49,18,2,152.2,26.92,34.62,19.32,2.13,54.44,1.66
2021,50,19,2,148.76,22.65,27.9,17.76,12.14,69.81,2.09
2021,51,20,2,151.12,23.18,30.43,15.25,0,59.69,1.5
2021,52,21,2,146.54,25.5,29.84,21.36,0,68.94,2.14
2021,53,22,2,142.66,29.06,36.67,20.9,0.54,64.5,0.95
2021,54,23,2,144.34,21.51,25.12,17.49,6.89,74.5,2.93
2021,55,24,2,148.09,24.25,32.08,14.45,0,55.25,1.19
2021,56,25,2,146.48,26.22,34.01,18.29,0,51.25,1.7
2021,57,26,2,145.41,26.13,33.98,18.95,0,53.69,2.25
2021,58,27,2,141.66,27.55,35.6,20.69,0,55.31,1.85
2021,59,28,2,141.18,28.38,34.8,22.54,1.17,60.56,2.13
2021,60,1,3,139.81,28.67,35.9,22.02,0.06,56.88,1.93
2021,61,2,3,136.13,27.69,32.9,23.12,3.84,60.56,1.11
2021,62,3,3,133.66,26.41,32.59,22.43,0.44,65.94,1.01
2021,63,4,3,132.84,26.87,33.36,21.31,1.2,62.06,1.48
2021,64,5,3,136.95,27.05,34.76,20.3,0,59.06,2.11
2021,65,6,3,137.63,26.65,34.59,19.75,0,58.94,1.57
2021,66,7,3,138.85,25.86,35.05,17.7,0,53.94,1.59
2021,67,8,3,136,25.63,34.19,18.48,0,53.56,2.45
2021,68,9,3,136.16,25.66,33.6,18.08,0,54.19,1.38
2021,69,10,3,134.28,27.13,35.58,19.56,0,53.12,2.58
2021,70,11,3,131.06,26.64,34.28,20.25,1.62,55.94,2
2021,71,12,3,123.81,24.21,29.85,19.93,6.78,70.88,1.48
2021,72,13,3,126.06,23.61,28.81,19.4,0.17,69.38,1.8
2021,73,14,3,123.2,23.19,29.08,19.31,4.03,75.81,1.66
2021,74,15,3,118.01,24.53,30.24,20.65,22.92,76.5,1.89
2021,75,16,3,121.08,23.62,30.54,18.65,31.18,78.5,1.72
2021,76,17,3,125.3,20.22,25.65,16.37,0.99,74.81,3.34
2021,77,18,3,123.8,17.56,23.28,12.75,0,68.44,1.99
2021,78,19,3,117.39,18.9,25.08,12.75,0.75,66.75,1.57
2021,79,20,3,112.84,20.99,27.3,17.13,11.33,76.75,2.27
2021,80,21,3,124.42,20.24,27.65,13.56,0.02,64.94,1.99
2021,81,22,3,121.09,19.99,26.07,15.15,0,73.62,1.13
2021,82,23,3,121.02,21.79,28.83,14.8,0,70.5,1.62
2021,83,24,3,110.96,22.6,26.96,18.65,16.29,85.31,1.59
