,TMIN(C),TMED(C),TMAX(C),RAD(W/m2),LLUVIA(MM),T-TD(C),RAD (mj/m2)
0,13.1,20.3,27.1,370,0.0,8.1,31.968000000000004
1,15.2,22.1,28.8,369,0.0,8.3,31.8816
2,17.6,23.6,30.1,370,0.0,9.0,31.968000000000004
3,18.9,24.9,31.6,361,0.0,8.6,31.1904
4,17.6,22.4,30.1,281,6.4,6.3,24.2784
5,11.7,15.9,21.7,216,2.2,6.5,18.6624
6,11.3,16.0,21.0,231,1.8,6.8,19.9584
7,13.2,18.5,24.9,289,1.0,7.1,24.9696
8,15.2,21.6,28.0,375,0.0,8.2,32.4
9,17.4,23.5,30.0,366,0.0,8.3,31.6224
10,19.2,25.5,31.9,344,0.6,8.0,29.7216
11,20.3,24.6,31.1,280,3.1,6.3,24.191999999999997
12,18.0,23.2,30.4,274,2.4,7.0,23.6736
13,18.5,22.4,29.2,338,7.0,6.2,29.2032
14,17.2,21.7,26.9,321,2.1,5.3,27.7344
15,17.9,22.6,28.0,337,0.9,6.2,29.1168
16,18.6,23.3,28.9,341,0.6,6.6,29.4624
17,18.5,24.6,30.6,342,0.5,7.2,29.5488
18,15.9,20.0,26.7,258,1.8,8.0,22.2912
19,14.1,18.8,24.3,365,0.0,8.6,31.535999999999998
20,13.6,19.8,26.6,368,0.0,8.2,31.7952
21,15.2,21.8,28.7,381,0.0,8.8,32.9184
22,18.6,24.0,30.5,320,0.0,8.2,27.648000000000003
23,19.9,25.1,31.4,341,0.5,7.8,29.4624
24,19.7,24.9,31.0,359,4.3,7.3,31.0176
25,20.5,26.2,32.3,356,1.3,8.0,30.7584
26,20.1,24.6,30.9,265,5.4,6.6,22.896
27,20.5,24.9,30.9,347,0.0,7.7,29.9808
28,20.5,25.4,31.3,370,0.0,8.5,31.968000000000004
29,20.4,25.7,31.8,356,1.4,8.4,30.7584
30,19.0,24.6,31.5,340,4.3,7.4,29.375999999999998
31,19.7,25.4,30.8,327,1.2,7.7,28.2528
32,21.2,25.5,30.9,270,2.2,6.7,23.328000000000003
33,18.9,23.7,30.4,301,2.9,6.8,26.0064
34,16.2,21.7,27.2,306,3.5,7.9,26.4384
35,16.4,21.7,28.4,384,0.0,9.8,33.1776
36,16.1,23.4,30.5,382,0.2,10.2,33.0048
37,18.2,24.3,31.2,380,0.0,10.3,32.832
38,18.4,25.0,31.9,376,0.0,10.0,32.4864
39,19.6,25.4,32.3,332,1.7,9.1,28.6848
40,20.3,26.0,32.8,344,0.6,9.0,29.7216
41,20.7,26.6,33.9,373,0.0,10.2,32.2272
42,20.4,26.0,33.8,361,5.5,9.6,31.1904
43,21.2,25.1,30.5,303,2.9,6.7,26.1792
44,17.6,22.6,31.0,280,7.1,5.3,24.191999999999997
45,18.7,23.2,29.0,354,0.6,7.3,30.5856
46,19.9,24.8,31.1,362,2.2,7.2,31.2768
47,19.4,22.8,28.1,315,3.6,7.4,27.215999999999998
48,17.5,22.4,28.6,281,0.0,9.8,24.2784
49,18.3,24.4,31.2,319,0.0,9.9,27.5616
50,18.4,23.8,31.0,268,1.6,10.1,23.1552
51,19.4,25.0,31.9,342,0.0,9.9,29.5488
52,20.5,25.5,31.1,288,0.5,9.8,24.8832
53,19.8,25.3,31.9,339,0.3,10.5,29.2896
54,21.2,26.5,33.0,364,0.2,10.6,31.4496
55,21.8,27.4,33.9,329,1.8,8.6,28.4256
56,23.6,28.2,33.7,264,1.7,7.5,22.8096
57,22.9,27.0,32.0,209,2.1,7.3,18.0576
58,21.5,26.5,32.7,303,0.4,7.4,26.1792
59,22.7,27.8,33.9,345,0.2,7.5,29.808000000000003
60,22.4,27.7,34.0,345,0.6,7.7,29.808000000000003
61,21.9,27.7,33.7,322,13.0,7.5,27.8208
62,22.0,26.0,31.6,294,4.7,6.0,25.4016
63,22.3,27.7,34.4,337,1.3,8.2,29.1168
64,23.2,27.7,33.8,316,1.0,8.7,27.3024
65,21.4,26.5,33.6,347,0.5,9.5,29.9808
66,21.7,27.4,33.9,346,1.0,10.1,29.8944
67,22.1,27.0,33.5,322,1.0,9.6,27.8208
68,21.8,26.1,33.2,190,6.4,7.0,16.416
69,22.3,26.7,32.8,297,4.5,7.2,25.6608
70,21.5,26.6,32.3,289,5.3,8.2,24.9696
71,21.6,26.9,34.0,331,1.9,9.1,28.5984
72,23.7,28.1,34.2,344,0.0,9.8,29.7216
73,21.7,26.2,32.2,294,0.8,8.7,25.4016
74,21.1,27.0,33.7,342,0.0,10.1,29.5488
75,22.9,27.3,34.7,345,0.5,9.0,29.808000000000003
76,21.1,26.8,33.7,312,0.8,8.9,26.9568
77,17.7,23.3,31.2,244,5.1,9.8,21.0816
78,17.6,21.4,28.0,173,7.2,9.6,14.9472
79,19.0,24.7,31.1,283,0.2,9.2,24.4512
80,19.9,25.5,33.6,263,3.7,7.9,22.7232
81,20.9,24.9,30.6,297,1.4,9.0,25.6608
82,20.5,24.8,30.3,219,1.7,8.6,18.9216
83,20.7,24.8,30.1,190,5.2,6.5,16.416
84,20.9,25.6,31.7,252,1.2,7.2,21.7728
85,22.2,26.7,32.4,270,0.5,7.0,23.328000000000003
86,22.4,26.8,32.9,252,5.1,5.4,21.7728
87,22.0,25.1,30.8,252,5.8,3.9,21.7728
88,21.6,25.9,31.9,264,0.5,6.7,22.8096
89,22.3,26.9,33.0,267,0.2,7.0,23.0688
90,22.4,27.2,35.0,238,5.4,7.5,20.5632
91,21.8,26.4,33.1,312,0.3,9.3,26.9568
92,19.9,25.6,32.2,259,1.8,8.7,22.3776
93,18.1,23.6,31.3,236,2.2,8.3,20.3904
94,17.2,21.2,28.7,267,0.9,7.8,23.0688
95,17.1,22.6,29.4,304,0.5,10.0,26.2656
96,17.7,24.0,30.8,324,0.0,9.1,27.9936
97,19.4,25.7,33.2,320,0.1,9.4,27.648000000000003
98,20.4,26.6,33.8,320,1.4,9.5,27.648000000000003
99,21.7,27.6,34.6,301,0.0,9.1,26.0064
100,22.7,28.2,34.8,300,0.1,9.0,25.92
101,23.0,28.4,35.5,290,0.0,9.6,25.055999999999997
102,21.7,26.6,33.0,255,3.0,8.2,22.031999999999996
103,19.5,22.7,27.7,136,2.5,6.3,11.7504
104,20.7,24.4,29.6,184,1.0,7.4,15.8976
105,20.5,24.8,30.3,202,1.3,7.6,17.4528
106,21.3,25.6,31.4,243,2.5,7.4,20.9952
107,21.2,26.3,32.4,265,1.8,7.1,22.896
108,21.3,25.5,32.3,248,7.7,5.2,21.4272
109,19.5,24.6,30.3,274,1.0,7.9,23.6736
110,18.1,24.2,31.1,270,2.1,9.1,23.328000000000003
111,18.2,21.4,26.7,158,3.8,7.8,13.6512
112,17.7,21.7,26.2,172,2.9,5.6,14.8608
113,18.3,23.0,28.3,264,1.1,7.2,22.8096
114,19.0,23.8,30.3,267,2.7,6.7,23.0688
115,20.5,25.4,32.0,276,1.4,7.5,23.8464
116,18.6,23.6,31.3,244,2.4,8.0,21.0816
117,16.5,20.8,29.3,234,5.4,6.2,20.2176
118,16.3,18.4,22.0,85,4.1,4.0,7.343999999999999
119,16.6,20.1,24.3,192,1.6,4.7,16.5888
120,17.6,21.3,26.5,219,1.4,5.8,18.9216
121,15.6,19.1,24.6,169,1.3,7.9,14.6016
122,13.9,19.3,25.8,202,0.1,7.8,17.4528
123,16.2,21.5,28.4,266,0.6,7.6,22.9824
124,16.7,20.9,26.5,187,0.5,7.5,16.1568
125,15.8,20.9,27.7,246,0.0,9.2,21.2544
126,16.8,21.5,28.4,214,0.1,8.2,18.4896
127,18.6,23.0,29.0,221,1.5,7.0,19.0944
128,18.5,21.8,26.6,65,4.6,6.3,5.6160000000000005
129,16.6,21.2,27.2,228,0.0,10.7,19.6992
130,16.9,20.7,26.6,165,0.0,9.2,14.255999999999998
131,15.9,20.2,25.9,138,1.8,7.0,11.9232
132,16.5,20.6,26.5,187,0.3,6.7,16.1568
133,15.8,21.6,28.5,242,1.3,7.0,20.9088
134,16.8,21.2,27.3,200,0.0,7.9,17.28
135,15.4,20.3,26.7,168,0.4,8.2,14.5152
136,17.7,20.8,25.8,99,0.7,6.0,8.5536
137,18.2,21.7,27.3,144,0.7,6.5,12.4416
138,16.3,21.2,26.9,128,3.1,7.1,11.0592
139,15.4,21.1,27.9,162,0.1,7.8,13.9968
140,16.7,21.5,28.2,202,0.1,6.2,17.4528
141,18.8,23.2,28.7,176,0.8,6.7,15.2064
142,17.7,21.4,26.6,181,1.1,7.1,15.6384
143,17.8,21.0,26.4,182,1.3,6.5,15.7248
144,17.3,21.0,25.8,198,0.4,6.7,17.1072
145,14.3,18.5,25.4,152,7.0,5.6,13.1328
146,13.5,18.1,24.1,205,0.0,8.3,17.712
147,13.5,18.4,24.9,200,0.0,8.2,17.28
148,14.3,18.8,24.5,145,0.2,6.9,12.527999999999999
149,16.3,20.0,25.4,159,0.3,6.0,13.7376
150,15.8,20.2,26.2,140,0.3,5.8,12.095999999999998
151,15.9,20.4,27.0,160,0.1,6.0,13.824000000000002
152,16.3,21.5,27.3,163,0.5,6.8,14.0832
153,18.6,22.0,27.2,166,0.2,6.8,14.3424
154,18.8,22.5,27.3,178,0.0,5.7,15.3792
155,18.5,22.3,28.0,183,0.4,5.4,15.8112
156,17.2,20.9,27.2,171,0.1,7.9,14.7744
157,16.6,20.4,25.9,189,0.1,8.3,16.3296
158,15.1,18.9,24.3,174,2.8,6.5,15.0336
159,16.0,19.2,24.1,138,0.6,6.0,11.9232
160,15.6,19.4,24.4,118,0.3,6.1,10.1952
161,14.8,18.7,25.0,83,1.9,5.2,7.1712
162,14.9,18.8,24.5,164,0.0,6.0,14.1696
163,16.7,19.9,24.9,164,0.1,5.6,14.1696
164,16.5,19.9,24.2,154,1.7,4.8,13.3056
165,16.2,19.5,24.2,73,2.3,4.6,6.3072
166,16.0,20.6,26.4,172,0.3,5.7,14.8608
167,16.3,20.2,25.7,156,0.6,6.4,13.4784
168,15.6,19.0,23.7,160,0.6,7.2,13.824000000000002
169,14.8,18.6,24.0,138,0.1,8.3,11.9232
170,15.1,18.6,23.5,106,1.0,6.8,9.1584
171,14.2,17.9,24.5,113,0.1,6.1,9.7632
172,13.8,18.5,24.5,96,0.3,5.4,8.2944
173,16.6,20.5,26.0,132,0.5,5.6,11.4048
174,15.0,18.6,24.7,146,0.3,6.2,12.6144
175,14.5,17.3,21.5,53,0.2,6.0,4.5792
176,13.5,17.0,21.7,93,0.7,6.4,8.0352
177,14.2,18.6,22.6,92,0.7,5.0,7.9488
178,17.3,19.1,23.2,93,1.7,4.9,8.0352
179,13.8,17.7,22.7,114,0.5,7.3,9.8496
180,14.2,17.3,21.9,134,0.0,7.3,11.5776
181,13.5,16.4,19.8,68,0.4,7.6,5.8752
182,13.6,16.8,20.9,75,1.1,5.4,6.48
183,14.3,17.0,22.0,82,0.9,6.8,7.0848
184,13.1,16.3,21.2,90,0.5,6.9,7.776
185,11.9,14.9,19.3,49,1.4,5.9,4.2336
186,11.2,15.8,21.3,102,0.1,6.5,8.8128
187,14.1,17.0,21.7,58,0.2,5.8,5.0112
188,13.8,16.8,20.2,53,1.1,4.1,4.5792
189,11.4,14.0,18.6,26,4.1,4.2,2.2464
190,12.0,14.1,16.6,52,3.2,3.9,4.4928
191,12.0,14.6,17.7,62,0.9,4.5,5.3568
192,11.6,14.1,18.3,104,0.8,4.7,8.9856
193,11.1,13.6,17.0,84,0.8,4.9,7.2576
194,12.3,13.7,15.4,49,1.8,3.8,4.2336
195,12.4,14.8,17.6,47,1.7,4.2,4.0608
196,13.5,15.9,19.0,34,2.0,3.3,2.9376
197,15.0,17.1,19.1,31,1.7,2.4,2.6784
