FECHA,TMPMIN,TMPMED,TMPMAX,HRMIN,HRMAX,PREC,RAD,ET0,COND_HELADAS,DUR_HELADAS
2020-01-01,21.1,25.5,30.3,46,99,0,NaN,NaN,0,0
2020-01-02,18.9,24.7,31.6,45,98,0,NaN,NaN,0,0
2020-01-03,22.7,28.3,33.2,40,70,0,NaN,NaN,0,0
2020-01-04,19,26.6,34.4,38,84,0,NaN,NaN,0,0
2020-01-05,18.9,27.1,34.7,35,92,0,NaN,NaN,0,0
2020-01-06,17.6,23.2,30,31,88,0,NaN,NaN,0,0
2020-01-07,13.4,23.6,32,24,89,0,NaN,NaN,0,0
2020-01-08,16.9,27.4,35.4,44,93,0,NaN,NaN,0,0
2020-01-09,21.5,26,31.1,60,86,0,NaN,NaN,0,0
2020-01-10,22,23.1,24.2,60,98,3.05,NaN,NaN,0,0
2020-01-11,25.8,30.1,33.8,51,99,3.05,NaN,NaN,0,0
2020-01-12,23.8,27.2,31.7,60,92,3.05,NaN,NaN,0,0
2020-01-13,23.6,28.9,36,58,90,3.05,NaN,NaN,0,0
2020-01-14,24.4,30.2,36.3,55,99,3.05,NaN,NaN,0,0
2020-01-15,19.6,25.2,31.1,39,99,5.84,NaN,NaN,0,0
2020-01-16,15,22.7,30.2,24,85,5.84,NaN,NaN,0,0
2020-01-17,17.3,24,30.6,33,83,5.84,NaN,NaN,0,0
2020-01-18,18.9,27.2,33.3,26,83,0,NaN,NaN,0,0
2020-01-19,23.3,29.7,36.2,54,84,0,NaN,NaN,0,0
2020-01-20,23.1,27.8,32.6,60,99,45.72,NaN,NaN,0,0
2020-01-21,22.7,26.2,32.5,60,99,63.5,NaN,NaN,0,0
2020-01-22,20.4,26.6,34.7,60,99,17.78,NaN,NaN,0,0
2020-01-23,21.2,27.6,35.3,60,99,0,NaN,NaN,0,0
2020-01-24,19.7,27.1,34.4,60,99,0,NaN,NaN,0,0
2020-01-25,20.4,29.2,38,60,99,0,NaN,NaN,0,0
2020-01-26,21.5,27.4,35,60,88,0,NaN,NaN,0,0
2020-01-27,20.5,25.2,33.4,59,78,0,NaN,NaN,0,0
2020-01-28,16.4,25.5,33.6,60,92,0,NaN,NaN,0,0
2020-01-29,19.2,22.4,25.5,60,99,2.79,NaN,NaN,0,0
2020-01-30,17.7,22.5,29.6,48,99,2.79,NaN,NaN,0,0
2020-01-31,13.4,23.1,31,60,88,0,NaN,NaN,0,0
2020-02-01,17.5,26.2,33.9,60,93,0,NaN,NaN,0,0
2020-02-02,18.6,27.6,36.3,60,99,0,NaN,NaN,0,0
2020-02-03,19,28.4,36,60,97,0,NaN,NaN,0,0
2020-02-04,21.9,29.7,38,60,88,0,NaN,NaN,0,0
2020-02-05,18.7,23.2,28.4,60,99,93.98,NaN,NaN,0,0
2020-02-06,20.2,23.8,29.6,60,99,95,NaN,NaN,0,0
2020-02-07,22.2,24.1,28.3,60,99,97.79,NaN,NaN,0,0
2020-02-08,21.4,22.2,22.7,99,99,0,NaN,NaN,0,0
2020-02-09,18.5,21.9,25,60,99,3.05,NaN,NaN,0,0
2020-02-10,15.9,22.1,29.6,60,99,3.05,NaN,NaN,0,0
2020-02-11,16.6,23.5,32.9,60,90,0,NaN,NaN,0,0
2020-02-12,18.3,25,32.5,60,95,0,NaN,NaN,0,0
2020-02-13,19.1,25.8,31.5,60,92,0,NaN,NaN,0,0
2020-02-14,22.4,26.4,33.8,60,96,0,NaN,NaN,0,0
2020-02-15,20.6,28.2,37.5,60,99,0,NaN,NaN,0,0
2020-02-16,24.1,29.1,36.1,60,60,0,NaN,NaN,0,0
2020-02-17,20.8,23.3,30.5,60,99,54.86,NaN,NaN,0,0
2020-02-18,15.8,22.8,32.5,32,99,54.86,NaN,NaN,0,0
2020-02-19,15.5,22.6,31.6,60,99,0,NaN,NaN,0,0
2020-02-20,17.5,21.7,29.2,33,99,0,NaN,NaN,0,0
2020-02-21,16,20.8,28.7,33,73,0,NaN,NaN,0,0
2020-02-22,9.9,20.7,29.3,36,91,0,NaN,NaN,0,0
2020-02-23,19.3,24.7,27.9,52,75,0,NaN,NaN,0,0
2020-02-24,14.6,23,31.4,50,99,0,NaN,NaN,0,0
2020-02-25,18.3,24.1,31.5,60,96,14.22,NaN,NaN,0,0
2020-02-26,14.1,22.8,33.6,59,91,14.22,NaN,NaN,0,0
2020-02-27,13.9,23.1,32.9,60,92,0,NaN,NaN,0,0
2020-02-28,15.8,25.4,35.4,60,98,0,NaN,NaN,0,0
2020-02-29,16.9,25.9,35.5,60,98,0,NaN,NaN,0,0
2020-03-01,16.8,25.8,34.1,60,99,0,NaN,NaN,0,0
2020-03-02,17.3,20.7,24.5,60,94,0,NaN,NaN,0,0
2020-03-03,17.1,26.3,34.6,60,86,0,NaN,NaN,0,0
2020-03-04,18.8,27.1,36.6,60,88,0,NaN,NaN,0,0
2020-03-05,19.1,27.2,35.3,44,85,0,NaN,NaN,0,0
2020-03-06,18.7,25.6,32.8,54,92,0,NaN,NaN,0,0
2020-03-07,17.9,26.7,34.7,60,99,0,NaN,NaN,0,0
2020-03-08,18.6,27.5,36.9,60,95,0,NaN,NaN,0,0
2020-03-09,20.6,28.7,38.6,60,86,0,NaN,NaN,0,0
2020-03-10,19.7,25.9,33.2,60,96,2.54,NaN,NaN,0,0
2020-03-11,20.3,27.7,38.4,60,98,5.84,NaN,NaN,0,0
2020-03-12,18.3,22.3,28.7,60,99,23.11,NaN,NaN,0,0
2020-03-13,18.9,22.6,27.95,60,90,11.555,NaN,NaN,0,0
2020-03-14,19.5,22.9,27.2,60,81,0,NaN,NaN,0,0
2020-03-15,13.9,16.6,19.5,81,99,27.18,NaN,NaN,0,0
2020-03-16,17.4,22.7,30.2,60,99,27.18,NaN,NaN,0,0
2020-03-17,17.6,20.9,23.3,60,99,24.64,NaN,NaN,0,0
2020-03-18,16.1,16.8,17.8,53,99,24.64,NaN,NaN,0,0
2020-03-19,17.3,26.8,32.8,39,99,24.64,NaN,NaN,0,0
2020-03-20,12.4,21.5,31.1,31,99,0,NaN,NaN,0,0
2020-03-21,14.4,22.4,30.3,44,99,0,NaN,NaN,0,0
2020-03-22,15.1,23.4,31.6,40,99,0,NaN,NaN,0,0
2020-03-23,19,26.7,33.2,42,95,0,NaN,NaN,0,0
2020-03-24,18.9,26.6,34.5,47,89,0,NaN,NaN,0,0
2020-03-25,18.3,21.9,26.5,60,99,5.59,NaN,NaN,0,0
2020-03-26,18.3,20.7,26.3,60,99,6.86,NaN,NaN,0,0
2020-03-27,17.3,20.9,23.7,60,99,7.11,NaN,NaN,0,0
2020-03-28,16.9,21.2,28.4,60,99,7.11,NaN,NaN,0,0
2020-03-29,18.5,23.7,32.9,50,99,0,NaN,NaN,0,0
2020-03-30,17,24.2,35.1,47,99,0.25,NaN,NaN,0,0
2020-03-31,20.9,24.8,31.3,60,99,0.25,NaN,NaN,0,0
2020-04-01,19.1,23.4,28.6,60,99,1.02,NaN,NaN,0,0
2020-04-02,14.3,19.8,26.7,37,98,1.02,NaN,NaN,0,0
2020-04-03,0,17.6,27.7,0,91,1.02,NaN,NaN,0,0
2020-04-04,10.8,19,28,46,99,1.02,NaN,NaN,0,0
2020-04-05,14.3,20.9,30.1,46,99,1.02,NaN,NaN,0,0
2020-04-06,14.3,18.7,24.4,28,98,1.02,NaN,NaN,0,0
2020-04-07,0,20.2,25.2,0,72,1.02,NaN,NaN,0,0
2020-04-08,4.9,20.05,26,32,86,0.51,NaN,NaN,0,0
2020-04-09,9.8,19.9,26.8,37,88,0,NaN,NaN,0,0
2020-04-10,9.4,12.6,21.8,62,90,0,NaN,NaN,0,0
2020-04-11,0,21.8,26.2,0,99,0,NaN,NaN,0,0
2020-04-12,11.1,19.8,27.4,43,99,0,NaN,NaN,0,0
2020-04-13,12.9,17.5,23.9,52,99,14.48,NaN,NaN,0,0
2020-04-14,0,16.6,27.4,0,97,14.48,NaN,NaN,0,0
2020-04-15,8.6,17.5,28.1,32,92,0,NaN,NaN,0,0
2020-04-16,10.2,17.8,26.7,43,91,0,NaN,NaN,0,0
2020-04-17,11.2,18.8,27.7,46,99,0,NaN,NaN,0,0
2020-04-18,0,18.7,27.5,0,99,0,NaN,NaN,0,0
2020-04-19,11.6,20.4,30.2,41,99,0,NaN,NaN,0,0
2020-04-20,13.9,16.8,25.5,60,99,0,NaN,NaN,0,0
2020-04-21,14.1,20.2,30.5,45,95,0,NaN,NaN,0,0
2020-04-22,15.6,21.2,28.3,59,99,0,NaN,NaN,0,0
2020-04-23,17.8,23.4,30,47,89,0,NaN,NaN,0,0
2020-04-24,18,26.1,35.6,39,92,0,NaN,NaN,0,0
2020-04-25,18,20.3,26,60,98,0,NaN,NaN,0,0
2020-04-26,16.6,18.2,20.1,97,99,17.02,NaN,NaN,0,0
2020-04-27,18.5,19.6,20.7,99,99,21.34,NaN,NaN,0,0
2020-04-28,12.2,19.3,24.4,53,99,5.59,NaN,NaN,0,0
2020-04-29,8.3,16.5,28.9,22,88,0,NaN,NaN,0,0
2020-04-30,14.8,18.9,25.8,38,87,0,NaN,NaN,0,0
2020-05-01,11.3,19.5,30.3,34,89,0,NaN,NaN,0,0
2020-05-02,18.1,21.8,25,47,69,0,NaN,NaN,0,0
2020-05-03,16.1,16.8,21.2,62,79,0,NaN,NaN,0,0
2020-05-04,13.8,18.7,25.6,59,97,0,NaN,NaN,0,0
2020-05-05,0,14,19.9,0,99,1.52,NaN,NaN,0,0
2020-05-06,3.8,11.2,22.7,31,89,1.52,NaN,NaN,0,0
2020-05-07,3.5,11.5,20.7,43,99,1.52,NaN,NaN,0,0
2020-05-08,6.1,10.1,21,47,99,0,NaN,NaN,0,0
2020-05-09,12.4,20.4,27.3,37,77,0,NaN,NaN,0,0
2020-05-10,0,19.6,32.1,0,86,0,NaN,NaN,0,0
2020-05-11,11,16.8,23.7,25,80,0,NaN,NaN,0,0
2020-05-12,8.1,14.5,23.3,27,80,0,NaN,NaN,0,0
2020-05-13,6.4,10.7,18.9,33,82,0,NaN,NaN,0,0
2020-05-14,3.2,11.7,21.3,37,99,0,NaN,NaN,0,0
2020-05-15,6.8,15.7,30.4,41,91,0,NaN,NaN,0,0
2020-05-16,11.1,22.6,32.4,45,90,0,NaN,NaN,0,0
2020-05-17,10.8,19.2,32.2,48,94,0,NaN,NaN,0,0
2020-05-18,11.1,18.9,28.7,44,94,0,NaN,NaN,0,0
2020-05-19,12.1,13,17.4,60,99,0,NaN,NaN,0,0
2020-05-20,14,19.7,25.5,60,88,0,NaN,NaN,0,0
2020-05-21,12,13.4,14.9,65,84,0.51,NaN,NaN,0,0
2020-05-22,5.7,11.2,14.7,41,81,2.03,NaN,NaN,0,0
2020-05-23,1.3,8.9,20.7,24,90,2.03,NaN,NaN,0,0
2020-05-24,2.3,11.6,25,28,99,0,NaN,NaN,0,0
2020-05-25,7.4,14.8,23.2,27,87,0,NaN,NaN,0,0
