YEAR,DOY,mjm2,Month,Day
2020,275,10.374912,10,2
2020,276,10.76976,10,3
2020,277,10.247904,10,4
2020,278,11.111904,10,5
2020,279,11.232,10,6
2020,280,10.87344,10,7
2020,281,11.241504,10,8
2020,282,11.38752,10,9
2020,283,11.770272,10,10
2020,284,11.690784,10,11
2020,285,11.829888,10,12
2020,286,11.822112,10,13
2020,287,11.61648,10,14
2020,288,9.396,10,15
2020,289,11.48688,10,16
2020,290,11.498112,10,17
2020,291,11.337408,10,18
2020,292,11.80656,10,19
2020,293,11.355552,10,20
2020,294,11.355552,10,21
2020,295,11.449728,10,22
2020,296,11.752128,10,23
2020,297,11.548224,10,24
2020,298,12.013056,10,25
2020,299,12.815712,10,26
2020,300,13.2192,10,27
2020,301,13.287456,10,28
2020,302,12.923712,10,29
2020,303,13.190688,10,30
2020,304,13.281408,10,31
2020,305,13.515552,11,1
2020,306,13.587264,11,2
2020,307,13.51728,11,3
2020,308,13.572576,11,4
2020,309,13.451616,11,5
2020,310,13.300416,11,6
2020,311,13.286592,11,7
2020,312,12.989376,11,8
2020,313,12.397536,11,9
2020,314,12.918528,11,10
2020,315,13.372128,11,11
2020,316,13.457664,11,12
2020,317,13.633056,11,13
2020,318,13.747968,11,14
2020,319,13.29696,11,15
2020,320,13.951008,11,16
2020,321,14.001984,11,17
2020,322,13.717728,11,18
2020,323,14.327712,11,19
2020,324,14.220576,11,20
2020,325,14.252544,11,21
2020,326,13.951872,11,22
2020,327,14.227488,11,23
2020,328,14.109984,11,24
2020,329,14.075424,11,25
2020,330,13.660704,11,26
2020,331,13.749696,11,27
2020,332,13.97952,11,28
2020,333,13.957056,11,29
2020,334,14.252544,11,30
2020,335,14.436576,12,1
2020,336,14.465952,12,2
2020,337,14.046048,12,3
2020,338,14.54112,12,4
2020,339,14.626656,12,5
2020,340,14.660352,12,6
2020,341,14.78736,12,7
2020,342,14.832288,12,8
2020,343,14.69232,12,9
2020,344,14.711328,12,10
2020,345,14.883264,12,11
2020,346,14.495328,12,12
