;TMIN(C);TMED(C);TMAX(C);RAD(MJ/M2);LLUVIA(mm);T-TD(C);GRANIZO;COND_HELADAS;FECHA
0;17.8;21.3;24.8;18.9;0.0;9.0;0.0;0.0;20220311
1;17.0;21.1;25.8;18.2;0.0;8.6;0.0;0.0;20220312
2;17.5;21.4;26.2;18.4;0.0;8.4;0.0;0.0;20220313
3;18.1;22.7;28.4;18.2;0.0;8.9;0.0;0.0;20220314
4;19.4;24.0;29.9;18.2;0.0;9.2;0.0;0.0;20220315
5;20.5;24.8;30.3;17.3;0.0;9.2;0.0;0.0;20220316
6;21.1;25.5;31.0;16.9;0.2;9.2;0.0;0.0;20220317
7;21.3;24.6;30.0;13.2;2.9;7.8;0.0;0.0;20220318
8;16.7;19.2;25.0;8.3;6.7;6.2;0.0;0.0;20220319
9;15.7;18.4;21.9;12.7;0.8;8.0;0.0;0.0;20220320
10;15.9;19.4;23.8;13.1;0.9;7.4;0.0;0.0;20220321
11;17.7;20.9;25.3;13.0;0.8;6.4;0.0;0.0;20220322
12;18.6;21.5;25.5;10.9;1.9;5.6;0.0;0.0;20220323
13;19.1;22.1;26.4;12.1;4.3;5.6;0.0;0.0;20220324
14;20.1;23.1;27.2;12.2;1.6;6.3;0.0;0.0;20220325
15;16.7;20.9;26.1;10.1;0.1;4.6;0.0;0.0;20220326
16;17.7;21.4;26.8;10.0;0.2;4.0;0.0;0.0;20220327
17;17.0;20.0;23.4;6.2;1.0;4.7;0.0;0.0;20220328
18;14.5;18.7;24.5;10.4;2.2;4.9;0.0;0.0;20220329
19;14.2;17.7;22.5;9.4;0.8;4.4;0.0;0.0;20220330
20;13.9;18.0;22.3;6.5;0.3;3.9;0.0;0.0;20220331
21;13.1;17.4;23.3;9.6;0.0;5.2;0.0;0.0;20220401
22;13.3;17.7;23.5;9.1;0.0;5.3;0.0;0.0;20220402
23;14.4;18.3;23.9;9.2;0.1;5.2;0.0;0.0;20220403
24;14.1;18.2;23.5;9.3;0.4;5.2;0.0;0.0;20220404
25;14.5;18.5;23.3;8.5;5.4;4.6;0.0;0.0;20220405
26;14.8;18.6;23.5;6.8;0.4;4.6;0.0;0.0;20220406
27;13.7;16.8;21.7;2.8;11.2;3.5;0.0;0.0;20220407
28;13.7;17.1;22.2;6.6;0.5;5.3;0.0;0.0;20220408
29;14.3;16.7;20.4;5.4;0.1;5.0;0.0;0.0;20220409
30;15.1;17.1;20.2;4.8;0.8;4.1;0.0;0.0;20220410
